Company,Dates,Comments
ACC,"['about 4 hrs 38 mins ago',
 'about 10 hrs 48 mins ago',
 'about 14 hrs 21 mins ago',
 'about 14 hrs 55 mins ago',
 'about 15 hrs 57 mins ago', 
 'about 16 hrs 49 mins ago',
 'about 16 hrs 52 mins ago',
 'about 17 hrs 5 mins ago',
 'about 17 hrs 22 mins ago',
 'about 17 hrs 31 mins ago']","['ðŸ”¼ðŸ”¼ - BUMPER NEWS !! Intraday,Options, Commodity and Future calls For Free ðŸ‘‰ðŸ‘‰ cutt.us/4qF8w ðŸ‘ˆðŸ‘ˆ', 
'03-JUNE-19 to 07-JUNE-19 // ACC is looking strong on charts as a weekly positional buy only if it starts to trade above 1747 !!',
'03-JUNE-19 to 07-JUNE-19 -- ACC If it moves above 1747 then we can go long for a T 5 delivery based buying purpose ...',
'1780 .when it will come. we have 2 lots 1740CE. can I hold or do average.',
'we have sold ACC at 1626 in the morning in our free teelle graamm channeell - ASKINVESTMENTACADEMY....booked full profit at 1600 and got a profit of 7k', 
'again pair trading: buy ACC around 1597 and sell UltraTech cem around 4580. for 20000 profit per lot',
'Acc stock will rise above 1780 and therefore will be a good stock to invest.', 
'market recovering i strongly believe it will close 1625... buy and buy',
'any chance of buying now.. .still gng down... what is happening', 
'03-JUNE-19 to 07-JUNE-19 -- ACC If it moves below 1648 then we can go short for a T 5 delivery based selling purpose ...']"
APOLLO,"['about 4 hrs 53 mins ago',
 'about 6 hrs 43 mins ago',
 'about 9 hrs 46 mins ago',
 'about 11 hrs 4 mins ago',
 'about 12 hrs 35 mins ago',
 'about 12 hrs 40 mins ago',
 'about 14 hrs 24 mins ago',
 'about 14 hrs 24 mins ago',
 'about 14 hrs 44 mins ago',
 'about 14 hrs 53 mins ago']","['ðŸ”¼ðŸ”¼ - BUMPER NEWS !! Intraday,Options, Commodity and Future calls For Free ðŸ‘‰ðŸ‘‰ cutt.us/4qF8w ðŸ‘ˆðŸ‘ˆ', 
'Jiya eco showing consolidate profit in each quarter. Must buy at cmp for intraday target 83 to 86',
'Don`t get trapped Huge selling expected shortly. Wait till it touches 215', 
'See intraday trading results by joining telegraam channel tech price consulting.', 
'very strong apollo tyre june expiry 210 above only buy opportunity', 
'Buy This for 228 target in June. sl 189 June series', 
'03-JUNE-19 to 07-JUNE-19 // APOLLOTYRE is looking strong on charts as a weekly positional buy only if it starts to trade above 200 !!', 
'why the futures price is lower by almost Rs. 6 compared to cash price. will anybody please throw some light on this.', 
'look good may touch 240 by expiry - My target for Apollo Tyres is Rs 240 for the short term with a stoploss of Rs 190.', 
'Buy Apollo Tyre next target 205 on Friday immediately effects on market']"
AXISBANK,"['about 2 hrs 32 mins ago',
 'about 4 hrs 37 mins ago',
 'about 5 hrs 13 mins ago',
 'about 8 hrs 49 mins ago',
 'about 6 hrs 56 mins ago',
 'about 6 hrs 59 mins ago',
 'about 7 hrs ago',
 'about 7 hrs 13 mins ago',
 'about 7 hrs 17 mins ago',
 'about 9 hrs 12 mins ago']","['Good opportunity for intra Day to sell for the good profit',
 'ðŸ”¼ðŸ”¼ - YIPPPE! Btst and Intraday calls for Huge Profits everyday click here ðŸ‘‰ cutt.us/4qF8w ðŸ‘ˆðŸ‘ˆ',
 'If you want to create your wealth than must visit my telegraam Channel search the King of Equity, also watch my accuracy level and risk rewards ratio 1:3 to 1:30',
 'ðŸ”¼ðŸ”¼ - YIPPPE! Btst and Intraday calls for Huge Profits everyday click here ðŸ‘‰ cutt.us/4qF8w ðŸ‘ˆðŸ‘ˆ',
 'Madam with due respect as I told you risk reward favored sorting Axis Bank. I sold it at 825 and covered my shorts at 810. Day`s low 807.20 Fut. And also please refer to my sell call given in ICICI Bank and Reliance on Tuesday and tomorrow.',
 'Don`t miss q4 earning results.Make this month useful.Learn just search @NEHA0103 on telegraam or google',
 'super surprise waiting on tomorrow so be ready for earn profit again like today for excellent earning.. with NEHA013 on google or Telegram !!',
 'Thanks for the compliments. Also please refer to my sell call given in ICICI Bank, Reliance on Tuesday and tomorrow . As far as I am concerned I am waiting for some correction in the Markets. Please follow me and I will let you know with re... ',
 'super surprise waiting on tomorrow so be ready for earn profit again like today for excellent earning.. with NEHA013 on google or Telegram !!',
 'trading made easy with proper and disciplined suggestions @Dtrade on telegraam']"
BANKBARODA,"['about 4 hrs 37 mins ago', '9.48 AM May 29th', '10.57 AM May 27th', '8.13 AM Jun 5th', 'about 15 hrs 50 mins ago', 'about 15 hrs 50 mins ago', 'about 8 hrs 4 mins ago', 'about 7 hrs 7 mins ago', 'about 8 hrs 17 mins ago', 'about 8 hrs 26 mins ago']","['ðŸ”¼ðŸ”¼ - YIPPPE! Btst and Intraday calls for Huge Profits everyday click here ðŸ‘‰ cutt.us/4qF8w ðŸ‘ˆðŸ‘ˆ', 'If you want to create your wealth than must visit my telegraam Channel search the King of Equity, also watch my accuracy level and risk rewards ratio 1:3 to 1:30', 'For wealth creation you must search on telegraam the king of Equity and watch my accuracy level and risk rewards ratio 1:3 to 1:30', 'If you want to create your wealth than must visit my telegraam Channel search the King of Equity, also watch my accuracy level and risk rewards ratio 1:3 to 1:30', 'Respected Moderator, From last many times I am user of money control. Thanks for your support. But yet I haven`t right for repost any of the messages. Please activate may right. Thanks for your kind response.', 'If you want to create your wealth than must visit my telegraam Channel search the King of Equity, also watch my accuracy level and risk rewards ratio 1:3 to 1:30', 'If you want to create your wealth than must visit my telegraam Channel search the King of Equity, also watch my accuracy level and risk rewards ratio 1:3 to 1:30', 'Buy Buy not to worry It will go around 130 and next week 140', 'https://news.yahoo.com/sbi-very-closely-monitoring-exposure-143250982.html', 'Check for SBI DHFL news on edelweiss, live mint and other news forums..']"
BBL,"['about 5 hrs 31 mins ago', 'about 6 hrs 4 mins ago', 'about 8 hrs 52 mins ago', 'about 7 hrs 19 mins ago', 'about 10 hrs 38 mins ago', 'about 12 hrs 11 mins ago', 'about 14 hrs 19 mins ago', 'about 15 hrs 5 mins ago', 'about 15 hrs 18 mins ago', 'about 16 hrs 8 mins ago']","['on 7th june, 2019, sell RBL Bank - My target for RBL Bank is Rs 650 for the intraday with a stoploss of Rs 673', 'Buy jiya eco It has good future and a well established company with currently growing for the intraday 86 and short term target 125', 'ðŸ”¼ðŸ”¼ - YIPPPE! Btst and Intraday calls for Huge Profits everyday click here ðŸ‘‰ cutt.us/4qF8w ðŸ‘ˆðŸ‘ˆ', 'Good rally in jiya eco with huge volume stock has long way to go. Buy and hold for good gains tomorrow expecting TARGET 82 88 code 539225', 'Trade price action intraday and see profit as well as loss as it happens, search telegraam channel tech price consulting.', '03-JUNE-19 to 07-JUNE-19 -- RBLBANK If goes above 713 buy buy buy ...', 'Buy today. Will go to 695 tomorrow as recovery will take place. Nothing wrong with the scrip', 'it will go down to 662 before closing. . . tomorrow further down', 'RBL bk futures almost at 665 tgt , low so far 665.6', 'Cost averaging of investments for future higher returns on investment']"
CESC,"['about 4 hrs 57 mins ago', 'about 12 hrs 32 mins ago', 'about 13 hrs 32 mins ago', 'about 16 hrs 35 mins ago', 'about 17 hrs 45 mins ago', 'about 19 hrs 12 mins ago', 'about 20 hrs 34 mins ago', 'about 20 hrs 42 mins ago', '6.07 PM Jun 5th', '4.39 PM Jun 5th']","['ðŸ”¼ðŸ”¼ - YIPPPE! Btst and Intraday calls for Huge Profits everyday click here ðŸ‘‰ cutt.us/4qF8w ðŸ‘ˆðŸ‘ˆ', 'We attach herewith a Certificate dated 4 June, 2019 under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018, for the month ended 31 May, 2019, received from Link Intime India Pvt. Ltd., Registrar and Share Transfer ... ', '03-JUNE-19 to 07-JUNE-19 // CESC buy once it moves over 761 !!', 'buy cesc..buy buy buy min 10 words words buy buy', '03-JUNE-19 to 07-JUNE-19 // CESC sell once it moves below 725 !!', '03-JUNE-19 to 07-JUNE-19 -- CESC If goes above 761 buy buy buy ...', '03-JUNE-19 to 07-JUNE-19 // CESC buy once it moves over 761 !!', 'Buy CESC @ 787 for target of 795/805 with stop loss @ 765', 'Buy CESC postional at cmp 775-776 for tgt1 785 tgt2 794 SL 770 closing basis ....June series', '03-JUNE-19 to 07-JUNE-19 // CESC buy once it moves over 761 !!']"
EXCELCROP,"['12.49 PM Jun 3rd', '11.39 AM Jun 3rd', '12.39 PM Jun 2nd', '2.14 PM May 30th', '9.26 AM May 30th', '9.28 AM May 30th', '9.39 AM May 30th', '9.21 AM May 30th', '5.55 PM May 29th', '10.35 AM May 29th']","['why no movement in Excel, mkt is good and excel is not moving.', 'Pursuant to Regulation 23(9) of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find enclosed herewith disclosure of Related Party Transactions on a consolidated basis for t... ', 'buy jiya eco This is the strength of technical analysis monday only given target of 79 81 enjoying money rain. and bse code 539225 short term target 120 & long term 180', 'We enclose herewith the newspaper advertisement with respect to the Extract of Audited Financial Results for the quarter and year ended 31st March, 2019 which were published by us in the following newspapers on 30th May, 2019 pursuant to Re... ', 'This refers to our letter Ref. No. ECCL/SEC/2019 dated 29th May, 2019 on the above subject. We hereby clarify that payment of interim dividend will be made to the shareholders holding shares of the Company at the close of business hours o... ', 'Pursuant to Regulation 42 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that the Board of Directors of the Company has fixed Wednesday, 12th June, 2019 as the Record Date for the purpose ... ', 'Is the best for you and your family is a good day for me to', 'Is the best for you to be able to get a chance', 'nice results with in two months scheme of amalgamation will be complete it must touch new high', 'sell sell sell just like Excel Ind it will going down after results']"
HCLTECH,"['about 6 hrs 19 mins ago', 'about 10 hrs 8 mins ago', 'about 12 hrs 21 mins ago', 'about 13 hrs 26 mins ago', 'about 13 hrs 50 mins ago', 'about 16 hrs 20 mins ago', 'about 16 hrs 26 mins ago', 'about 17 hrs 29 mins ago', 'about 18 hrs 34 mins ago', 'about 19 hrs 6 mins ago']","['If you want to create your wealth than must visit my telegraam Channel search the King of Equity, also watch my accuracy level and risk rewards ratio 1:3 to 1:30', 'If you want to learn pure technical analysis of stock then must visit on Telegraame Stock Gainers.', 'perfect time for buying HCl Tech now with MODI mood in nation and NDA coming strong. wazup 746 five 99 45 two 5', '03-JUNE-19 to 07-JUNE-19 -- HCLTECH If goes above 1110 buy buy buy ...', 'HCL Technologies Limited is an Indian multinational information technology service and consulting company headquartered in Noida, Uttar Pradesh', 'BUY HCLTECH AT 1102 OR CMP STRICT SL 1090 TRGT 1115,,, please check', 'I see this stock going up in the long run . following nifty 200 quality 30', '03-JUNE-19 to 07-JUNE-19 -- HCLTECH If goes below 1065 sell sell sell ...', 'Short HCL TECH for 1000, keep SL at 1106.80 . Weak pattern on charts emerged after yesterday`s fall.', '03-JUNE-19 to 07-JUNE-19 // HCLTECH strong on charts above 1110 !!']"
HDFC,"['about 28 mins 16 sec ago', 'about 9 hrs 12 mins ago', 'about 9 hrs 41 mins ago', 'about 10 hrs 42 mins ago', 'about 10 hrs 47 mins ago', 'about 11 hrs 25 mins ago', 'about 12 hrs 13 mins ago', 'about 12 hrs 17 mins ago', 'about 12 hrs 31 mins ago', 'about 14 hrs 12 mins ago']","['Buy HDFC bank at cmp. Rtgs neft charges were levied by RBI on Banks which was in turn charged on the customers. Now RBI will stop collecting it and Banks in turn will stop collecting it. There shouldn`t be any loss for the banks here.', 'ðŸ”¼ðŸ”¼ - BUMPER NEWS !! Intraday,Options, Commodity and Future calls For Free ðŸ‘‰ðŸ‘‰ cutt.us/4qF8w ðŸ‘ˆðŸ‘ˆ', 'Keep learning keep earning @Dtrade on telegraam....hurry up', 'r u saying after one year it will come back to 2300...', 'HDFC Bank perfect levels in cash is possible with 99% accuracy only you need to know how to Trade and Axis point. follow for live updates. wazup 746 five 99 45 two 5', 'To buy 100 shares and sell it whenever price go up', 'forget 2300 in hdfc bank for the next 1 year', 'gave the sell call yesterday that to wait for 2468 and sell ! as soon as it hit 2470 it both my targets of 2439 and 2425 missing 3rd tgt of 2409 by 4 pts... members made insane profits especially since i gave a minimum tgt of 40pts ! teleee... ', 'market dipping because of nbfc crisis due to dhfl.... intelligent ppl shud use dips in hdfc bank towards 2300-2200', 'where do we have virtual money? is it some app']"
HEXAWARE,"['about 10 hrs 31 mins ago', 'about 12 hrs 56 mins ago', 'about 16 hrs 35 mins ago', 'about 17 hrs ago', 'about 17 hrs 59 mins ago', 'about 18 hrs 37 mins ago', 'about 19 hrs 46 mins ago', '6.34 PM Jun 5th', '4.55 PM Jun 5th', '12.44 PM Jun 5th']","['Trade price action intraday and see profit as well as loss as it happens, search telegraam channel tech price consulting.', '03-JUNE-19 to 07-JUNE-19 // HEXAWARE on weekly basis will show momentum above 372 !!', 'Hexa may go down further 10 to 15 rs. No bounce back for short term.', '03-JUNE-19 to 07-JUNE-19 // HEXAWARE on weekly basis will show downside momentum below 349 !!', 'Pursuant to Regulation 39 and other application regulations of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 (the Regulations), we would like to inform you that Registrar and Transfer Agent of Company M/s. Karvy F... ', '03-JUNE-19 to 07-JUNE-19 -- HEXAWARE If it moves above 372 then buy immediately for 1 week ...', '03-JUNE-19 to 07-JUNE-19 // HEXAWARE on weekly basis will show momentum above 372 !!', 'Jiya Eco Rate of change indicator is positive mode so please buy in bulk for short term target 120', '03-JUNE-19 to 07-JUNE-19 // HEXAWARE on weekly basis will show momentum above 372 !!', '03-JUNE-19 to 07-JUNE-19 // HEXAWARE on weekly basis will show downside momentum below 349 !!']"
HFCL,"['about 12 hrs 3 mins ago', 'about 15 hrs 20 mins ago', 'about 15 hrs 28 mins ago', 'about 16 hrs 8 mins ago', 'about 17 hrs 52 mins ago', 'about 18 hrs 21 mins ago', '8.10 PM Jun 5th', '6.35 PM Jun 5th', '8.34 AM Jun 5th', '7.53 PM Jun 4th']","['Have earned great profits in sugar stocks suggested by Arvind Bajaj in their subscriptions services.Now will hold the starwarts like Reliance,HDFC,etc to earn long term wealth.', 'tomorrow,s range ll be between 20.60(low)- 21.80(high)', 'it will be a matter of worry if it drops below 20.60', 'kya kaha tha maine...2nd week is almost completed ,1 day left..lol', 'ye company sirf Order book he increase keep rahe. hae kya.share kab increase joga????.dividend kab milega', 'it ll run after 22.45...as its a new resistance level. hold tighlty for next week', 'but ye run kab karega.11000 crore order book ke baad bhe \U0001f940\U0001f940\U0001f940\U0001f940', 'Buy jiya eco code 539225 Finding jiya eco in an uptrend at present, I`d advise investors to buy its stock with a target of Rs 80 and short term tgt 130 and long term tgt 185.............', 'You know, Raddef is an innovation based company which has got R&D Lab in Bangalore. We have acquired this company very recently and we have announced this just last week only. The amount of transaction towards payment for equity buyout an... ', 'This is further to our earlier intimation dated May 16, 2019. We hereby submit the Transcript of Earnings Conference Call organized by the Company on May 21, 2019, to discuss the audited Financial Results of the Company for the Fourth Quar... ']"
